continentName,ghgYear,co2concentration
Northern Africa                                   ,2022Q2,          2164.2
Northern Africa                                   ,2022Q3,         2123.33
Northern Africa                                   ,2022Q4,          2144.8
Northern Africa                                   ,2023Q1,          2233.6
Northern Africa                                   ,2023Q2,         2189.98
Northern America                                  ,2010Q1,        15743.68
Northern America                                  ,2010Q2,        15010.84
Northern America                                  ,2010Q3,        15441.15
Northern America                                  ,2010Q4,         15635.4
Northern America                                  ,2011Q1,         15589.8
Northern America                                  ,2011Q2,        14800.34
Northern America                                  ,2011Q3,        15191.46
Northern America                                  ,2011Q4,        14900.97
Northern America                                  ,2012Q1,        14803.05
Northern America                                  ,2012Q2,         14251.6
Northern America                                  ,2012Q3,        14761.14
Northern America                                  ,2012Q4,        14754.54
Northern America                                  ,2013Q1,        15301.06
Northern America                                  ,2013Q2,        14641.76
Northern America                                  ,2013Q3,        14913.36
Northern America                                  ,2013Q4,        15235.92
Northern America                                  ,2014Q1,        15888.06
Northern America                                  ,2014Q2,        14644.98
Northern America                                  ,2014Q3,         14834.6
Northern America                                  ,2014Q4,        15183.67
Northern America                                  ,2015Q1,         15557.2
Northern America                                  ,2015Q2,        14453.92
Northern America                                  ,2015Q3,        14842.38
Northern America                                  ,2015Q4,        14517.21
Northern America                                  ,2016Q1,        14669.63
Northern America                                  ,2016Q2,        13983.76
Northern America                                  ,2016Q3,         14757.4
Northern America                                  ,2016Q4,           14555
Northern America                                  ,2017Q1,        14428.35
Northern America                                  ,2017Q2,        14084.43
Northern America                                  ,2017Q3,        14489.65
Northern America                                  ,2017Q4,        14725.02
Northern America                                  ,2018Q1,        15056.97
Northern America                                  ,2018Q2,        14382.21
Northern America                                  ,2018Q3,        14693.29
Northern America                                  ,2018Q4,        15233.06
Northern America                                  ,2019Q1,        15190.23
Northern America                                  ,2019Q2,        14092.19
Northern America                                  ,2019Q3,        14520.43
Northern America                                  ,2019Q4,        14594.19
Northern America                                  ,2020Q1,        14150.61
Northern America                                  ,2020Q2,        12116.21
Northern America                                  ,2020Q3,        13290.93
Northern America                                  ,2020Q4,         13399.5
Northern America                                  ,2021Q1,        14023.35
Northern America                                  ,2021Q2,        13547.79
Northern America                                  ,2021Q3,        14007.01
Northern America                                  ,2021Q4,         13919.8
Northern America                                  ,2022Q1,        14541.71
Northern America                                  ,2022Q2,        13730.18
Northern America                                  ,2022Q3,        13947.39
Northern America                                  ,2022Q4,        14181.74
Northern America                                  ,2023Q1,        14105.99
Northern America                                  ,2023Q2,        13463.27
Northern Europe                                   ,2010Q1,         2371.33
Northern Europe                                   ,2010Q2,         2158.89
Northern Europe                                   ,2010Q3,         2066.91
Northern Europe                                   ,2010Q4,         2367.21
Northern Europe                                   ,2011Q1,          2308.2
Northern Europe                                   ,2011Q2,         2062.55
Northern Europe                                   ,2011Q3,         2009.24
Northern Europe                                   ,2011Q4,         2154.58
Northern Europe                                   ,2012Q1,         2242.67
Northern Europe                                   ,2012Q2,         2079.25
Northern Europe                                   ,2012Q3,         1987.47
Northern Europe                                   ,2012Q4,         2198.95
Northern Europe                                   ,2013Q1,         2270.75
Northern Europe                                   ,2013Q2,         2077.57
Northern Europe                                   ,2013Q3,            1946
Northern Europe                                   ,2013Q4,         2096.73
Northern Europe                                   ,2014Q1,            2129
Northern Europe                                   ,2014Q2,         1957.44
Northern Europe                                   ,2014Q3,         1889.55
Northern Europe                                   ,2014Q4,         2051.09
Northern Europe                                   ,2015Q1,         2160.66
Northern Europe                                   ,2015Q2,         1967.81
Northern Europe                                   ,2015Q3,         1879.08
Northern Europe                                   ,2015Q4,          1977.6
Northern Europe                                   ,2016Q1,         2047.08
Northern Europe                                   ,2016Q2,         1950.89
Northern Europe                                   ,2016Q3,         1822.32
Northern Europe                                   ,2016Q4,         2031.87
Northern Europe                                   ,2017Q1,         2047.88
Northern Europe                                   ,2017Q2,          1877.6
Northern Europe                                   ,2017Q3,         1815.05
Northern Europe                                   ,2017Q4,         2000.04
Northern Europe                                   ,2018Q1,         2086.26
Northern Europe                                   ,2018Q2,         1904.96
Northern Europe                                   ,2018Q3,         1827.11
Northern Europe                                   ,2018Q4,         1975.84
Northern Europe                                   ,2019Q1,         2019.04
Northern Europe                                   ,2019Q2,         1894.52
Northern Europe                                   ,2019Q3,         1768.19
